,0
2031,30.25
2032,40.75
2033,0.0
2034,19.25
2035,28.5
2036,31.75
2037,14.75
2038,21.25
2039,19.25
2040,-0.5
2041,11.25
2042,39.5
2043,53.0
2044,2.5
2045,0.0
2046,8.0
2047,32.5
2048,26.25
2049,31.0
2050,3.5
2051,66.5
2052,29.75
2053,10.25
2054,45.25
2055,37.25
2056,24.75
2057,39.5
2058,0.0
2059,66.5
2060,37.75
2061,8.0
2062,3.25
2063,36.75
2064,33.5
2065,23.5
2066,45.5
2067,13.0
2068,25.75
2069,34.75
2070,26.75
2071,19.25
2072,0.0
2073,2.75
2074,30.25
2075,10.0
2076,13.0
2077,25.5
2078,27.75
2079,6.25
2080,36.5
2081,16.25
2082,16.5
2083,19.75
2084,31.5
2085,2.5
2086,26.25
2087,20.0
2088,38.75
2089,37.25
2090,13.75
2091,10.0
2092,12.75
2093,25.25
2094,14.25
2095,30.75
2096,16.75
2097,7.5
2098,2.0
2099,40.25
2100,10.25
2101,38.0
2102,6.75
2103,41.25
2104,18.5
2105,42.0
2106,14.75
2107,7.5
2108,4.75
2109,5.0
2110,36.25
2111,16.0
2112,8.75
2113,14.0
2114,18.5
2115,0.0
2116,42.5
2117,18.0
2118,45.75
2119,19.25
2120,24.25
2121,15.75
2122,24.75
2123,42.25
2124,11.75
2125,31.75
2126,53.5
2127,2.75
2128,9.5
2129,33.75
2130,25.5
2131,64.5
2132,1.25
2133,3.5
2134,3.25
2135,10.0
2136,42.25
2137,27.75
